id,titre,prix_mad,ville,quartier,surface_m2,nb_chambres,nb_salles_de_bain,prix_par_m2,scraped_at
1169,186084-Vente Appt à Témara Nahda I de 120 m²,1000000.0,Temara,Autre Secteur,120.0,3,1,8333.33,2026-05-07 14:31:06.491134
1170,185882-Vente Appt à Nouaceur Nouaceur de 116 m²,1270000.0,Nouaceur,Toute La Ville,116.0,3,2,10948.28,2026-05-07 14:31:06.491250
1171,185903-Vente Appt à Casablanca Hopitaux de 116 m²,1850000.0,Casablanca,Maarif,116.0,3,2,15948.28,2026-05-07 14:31:06.491355
1172,181833-Vente Appt à Casablanca Roches Noires de 10,1010000.0,Casablanca,Roches Noires,103.0,2,1,9805.83,2026-05-07 14:31:06.491468
1173,184816-Vente Appt à Casablanca Roches Noires de 94,1270000.0,Casablanca,Roches Noires,94.0,2,2,13510.64,2026-05-07 14:31:06.491575
1174,183542-Vente Appt à Casablanca Val Fleuri de 102 m²,1484800.0,Casablanca,Maarif,102.0,2,1,14556.86,2026-05-07 14:31:06.491684
1175,171766-Vente Appt à Casablanca Palmier (Maarif),2250000.0,Casablanca,Maarif,114.0,2,2,19736.84,2026-05-07 14:31:06.491793
1176,185417-Vente Appt à Casablanca Oasis de 110 m²,2100000.0,Casablanca,Maarif,110.0,2,2,19090.91,2026-05-07 14:31:06.491901
1177,185813-Vente Appt à Dar Bouazza Tamaris2 de 144 m²,2390000.0,Dar Bouazza,Toute La Ville,144.0,3,2,16597.22,2026-05-07 14:31:06.492011
1178,186072-Vente Appt à Casablanca Ferme Bretonne de 1,2450000.0,Casablanca,Hay Hassani,136.0,3,2,18014.71,2026-05-07 14:31:06.492118
1179,184639-Vente Appt à Casablanca Oulfa de 131 m²,1300000.0,Casablanca,Hay Hassani,131.0,3,1,9923.66,2026-05-07 14:31:06.492229
1180,185391-Vente Appt à Casablanca Lusitania de 130 m²,1980000.0,Casablanca,Sidi Belyout,130.0,3,2,15230.77,2026-05-07 14:31:06.492340
1181,182437-Vente Appt à Casablanca Hopitaux de 167 m²,2595000.0,Casablanca,Maarif,167.0,3,2,15538.92,2026-05-07 14:31:06.492449
1182,"Appartement spacieux à vendre 95m² dans la résidence Najma, rue Moulay Rachid",720000.0,Tanger,Centre,95.0,3,1,7578.95,2026-05-07 14:31:06.492581
1183,183544-Vente Appt à Casablanca Ain Diab de 223 m²,3200000.0,Casablanca,Anfa,223.0,3,2,14349.78,2026-05-07 14:31:06.492693
1184,CMN-AC-2017 - Appartement à vendre à Californie,1690000.0,Casablanca,Californie,144.0,2,2,11736.11,2026-05-07 14:31:06.492803
1185,184727-Vente Appt à Casablanca Hopitaux de 245 m²,3650000.0,Casablanca,Maarif,245.0,4,3,14897.96,2026-05-07 14:31:06.492916
1186,184882-Vente Appt à Casablanca Maarif Extension,2600000.0,Casablanca,Maarif,206.0,3,3,12621.36,2026-05-07 14:31:06.493027
1187,172307-Vente Appt à Rabat Riyad de 202 m²,4750000.0,Rabat,Riyad,202.0,3,1,23514.85,2026-05-07 14:31:06.493137
1188,185814-Vente Appt à Casablanca La Gironde de 198 m,2500000.0,Casablanca,Mers Sultan,198.0,4,3,12626.26,2026-05-07 14:31:06.493241
1189,180763-Vente Appt à Casablanca Sindibad de 185 m²,4900000.0,Casablanca,Anfa,185.0,3,2,26486.49,2026-05-07 14:31:06.493351
1190,184806-Vente Appt à Casablanca Maarif de 283 m²,5200000.0,Casablanca,Maarif,283.0,3,3,18374.56,2026-05-07 14:31:06.493457
1191,Aprt a vendre oulfa EL youssra,1040000.0,Casablanca,Oulfa,100.0,3,2,10400.0,2026-05-07 14:31:06.493565
1192,appartement à sidi maarof,1000000.0,Casablanca,Sidi Maarouf,112.0,2,2,8928.57,2026-05-07 14:31:06.493676
1193,Appartement titré à vendre Résidence Halima Un 55 mètres,400000.0,Salé,Toute La Ville,55.0,2,1,7272.73,2026-05-07 14:31:06.493807
1194,Appartement à vendre à Bachir Complex,620000.0,Tanger,Moujahidine,62.0,2,2,10000.0,2026-05-07 14:31:06.493922
1195,Appartement 74 m² ascenseur syndic déclaration totale,555000.0,Tanger,Tanja Balia,74.0,2,1,7500.0,2026-05-07 14:31:06.494030
1196,Appartement titré à vendre 46 m²,280000.0,Salé,Sidi Moussa,46.0,1,1,6086.96,2026-05-07 14:31:06.494145
1197,شقة مميزة ذات واجهتين للبيع,650000.0,Tanger,Autre Secteur,80.0,3,1,8125.0,2026-05-07 14:31:06.494268
1198,Appartement à vendre 95 m² à El Mansouria,1100000.0,El Mansouria,Toute La Ville,95.0,2,2,11578.95,2026-05-07 14:31:06.494383
1199,Appartement à vendre 55 m² à Tanger avec piscine,350000.0,Tanger,La Nouvelle Ville Ibn Battouta,55.0,2,1,6363.64,2026-05-07 14:31:06.494496
1200,Appartement bien situé,430000.0,El Jadida,Autre Secteur,76.0,2,1,5657.89,2026-05-07 14:31:06.494604
1201,CMN-AC-1971 - Appartement à vendre à Sidi Maarouf,770000.0,Casablanca,Sidi Maarouf,72.0,2,1,10694.44,2026-05-07 14:31:06.494724
1202,Appartement à vendre 50 m² à Salé,260000.0,Salé,Bab Sebta,50.0,2,1,5200.0,2026-05-07 14:31:06.494865
1203,Appart - AL BASMA A.S,425000.0,Casablanca,Ain Sebaa,55.0,2,2,7727.27,2026-05-07 14:31:06.494973
1204,appartement a vendre meuble,600000.0,Marrakech,Route De Casablanca,52.0,2,1,11538.46,2026-05-07 14:31:06.495080
1205,Appartement à vendre 110 m² à Agadir Marina,2950000.0,Agadir,Marina,110.0,2,2,26818.18,2026-05-07 14:31:06.495195
1206,CMN-MA-2450 - Appartement à vendre à Bd Anoual,1800000.0,Casablanca,Autre Secteur,114.0,3,2,15789.47,2026-05-07 14:31:06.495306
1207,CMN-MA-2188 - Appartement à vendre à Racine,1680000.0,Casablanca,Racine,144.0,3,1,11666.67,2026-05-07 14:31:06.495419
1208,CMN-ME-1690 - Appartement à vendre à 2 Mars,1700000.0,Casablanca,2 Mars,85.0,2,2,20000.0,2026-05-07 14:31:06.495528
1209,Appartement à vendre 78 m² à Temara,849000.0,Temara,Centre Ville,78.0,2,2,10884.62,2026-05-07 14:31:06.495637
1210,Appartement à vendre à la Palmeraie à Marrakech,2300000.0,Marrakech,Palmeraie,134.0,2,2,17164.18,2026-05-07 14:31:06.495753
1211,Appartement à vendre Touhid Rahma,250000.0,Casablanca,Errahma,51.0,2,1,4901.96,2026-05-07 14:31:06.495866
1212,Appartement de propriété adliya,390000.0,Tétouan,Autre Secteur,100.0,3,2,3900.0,2026-05-07 14:31:06.495974
1213,Appartement à vendre à Jnan Awrad Marrakech,1350000.0,Marrakech,Route De Casablanca,75.0,2,2,18000.0,2026-05-07 14:31:06.496096
1214,Appartement à vendre 84 m² à Tanger,2500000.0,Tanger,Tanger City Center,84.0,2,1,29761.9,2026-05-07 14:31:06.496209
1215,appartement à vendre,550000.0,Casablanca,Autre Secteur,56.0,2,1,9821.43,2026-05-07 14:31:06.496314
1216,"Appartement à vendre à Bouznika à un prix raisonnable, adresse Riad El Mountassir",290000.0,Bouznika,Autre Secteur,60.0,2,1,4833.33,2026-05-07 14:31:06.496505
1217,Appartement balnéaire 96 m² à El Mansouria,920000.0,El Mansouria,Toute La Ville,96.0,1,1,9583.33,2026-05-07 14:31:06.496628
1218,Appartement à vendre 86 m² au cœur de Bourgogne,800000.0,Casablanca,Bourgogne,86.0,2,1,9302.33,2026-05-07 14:31:06.496738
1219,Spacieux appartement à vendre meublé,1350000.0,Marrakech,Victor Hugo,54.0,1,1,25000.0,2026-05-07 14:31:06.496855
1220,Nouvel appartement équipé à vendre quartier Mansour,500000.0,Meknès,Autre Secteur,82.0,2,2,6097.56,2026-05-07 14:31:06.496964
1221,"🌊 appartement vue mer en face, sans vis-à-vis",1600000.0,Agadir,Anza,80.0,2,2,20000.0,2026-05-07 14:31:06.497077
1222,Appartement à vendre 89 m² à Benslimane,700000.0,Benslimane,Autre Secteur,100.0,2,1,7000.0,2026-05-07 14:31:06.497185
1223,"Appartement à Hay Saada 1, Fès",390000.0,Fès,Hay Saada,62.0,1,1,6290.32,2026-05-07 14:31:06.497302
1224,Joli Appartement à vendre,1150000.0,Casablanca,Maarif,90.0,3,2,12777.78,2026-05-07 14:31:06.497408
1225,Appartement à vendre 60m² - Salé (Route de Kénitra),420000.0,Salé,Toute La Ville,60.0,2,1,7000.0,2026-05-07 14:31:06.497516
1226,Appartement à vendre 76 m² à Salé,630000.0,Salé,Said Hajji,76.0,2,1,8289.47,2026-05-07 14:31:06.497647
1227,Maison à vendre à Mohammedia Al Andalous,430000.0,Mohammedia,Autre Secteur,64.0,3,2,6718.75,2026-05-07 14:31:06.497754
1228,Appartement à vendre à Hay Riad,5400000.0,Rabat,Hay Riad,326.0,4,4,16564.42,2026-05-07 14:31:06.497874
1229,appartement à vendre,2450000.0,Tanger,Malabata,93.0,1,2,26344.09,2026-05-07 14:31:06.497988
1230,Appartement meublé Martil,850000.0,Martil,Toute La Ville,76.0,2,2,11184.21,2026-05-07 14:31:06.498099
1231,Super Appart à Marina Golf Asilah,780000.0,Asilah,Toute La Ville,69.0,1,1,11304.35,2026-05-07 14:31:06.498211
1232,Appartement à vendre 58 m² à Casablanca,400000.0,Casablanca,Sidi Moumen,58.0,2,1,6896.55,2026-05-07 14:31:06.498326
1233,Bel appartement 2 chambres sur résidence piscine,2100000.0,Marrakech,Guéliz,95.0,2,2,22105.26,2026-05-07 14:31:06.498440
1234,Superbe duplex à vendre centre ville,2800000.0,Tanger,Centre Ville,170.0,3,3,16470.59,2026-05-07 14:31:06.498552
1235,Appartement avec locaux commerciaux à vendre,2000000.0,Marrakech,Route D'Ourika,100.0,3,1,20000.0,2026-05-07 14:31:06.498661
1236,Studios Neuf 36m à 38m Quartiers Des Hôpitaux,820000.0,Casablanca,2 Mars,36.0,1,1,22777.78,2026-05-07 14:31:06.498770
1237,appartement,480000.0,Meknès,El Bassatine,95.0,3,1,5052.63,2026-05-07 14:31:06.498880
1238,Studio 43m Haut de Gamme Proche Tram,1000000.0,Casablanca,2 Mars,43.0,1,1,23255.81,2026-05-07 14:31:06.498986
1239,Appartement à vendre 105 m² à Agadir,1380000.0,Agadir,Hay Salam,105.0,3,2,13142.86,2026-05-07 14:31:06.499092
1240,Appartement à vendre 70 m² - Hay Chrifa,900000.0,Casablanca,Hay Chrifa,70.0,2,1,12857.14,2026-05-07 14:31:06.499203
1241,Appartement 80 m² 3 chambres ascenseur syndic 3 minutes Malabata,750000.0,Tanger,Tanja Balia,80.0,3,1,9375.0,2026-05-07 14:31:06.499314
1242,"Appartement meublé 76m², ascenseur, syndic, sur la rue",760000.0,Tanger,Tanja Balia,76.0,2,1,10000.0,2026-05-07 14:31:06.499428
1243,Appartement à vendre 85 m² à Tanger,1140000.0,Tanger,Autre Secteur,85.0,2,1,13411.76,2026-05-07 14:31:06.499541
1244,Appartement neuf haut standing,650000.0,Dar Bouazza,Toute La Ville,66.0,2,2,9848.48,2026-05-07 14:31:06.499662
1245,Appartement à vendre 57 m² HAY HAMZA SIDI MAAROUF,560000.0,Casablanca,Sidi Maarouf,57.0,2,1,9824.56,2026-05-07 14:31:06.499771
1246,Appartement à vendre à Ain Sebaa El Fadl ensoleillé toute la journée,420000.0,Casablanca,Ain Sebaa,74.0,2,1,5675.68,2026-05-07 14:31:06.499888
1247,Appartement à vendre 62 m² à SIDI RHHALE,450000.0,Casablanca,Route D'Azemmour,62.0,2,1,7258.06,2026-05-07 14:31:06.500005
1248,"Appartement 56 m², ascenseur, syndic, 5 minutes de Malabata",550000.0,Tanger,Tanja Balia,56.0,2,1,9821.43,2026-05-07 14:31:06.500113
1249,Appartement 74 m ascenseur syndic balcon,592000.0,Tanger,Tanja Balia,74.0,2,1,8000.0,2026-05-07 14:31:06.500263
1250,Appartement 4 pièces 102 m² ascenseur syndic sur rue,1070000.0,Tanger,Tanja Balia,102.0,4,2,10490.2,2026-05-07 14:31:06.500402
1251,ATIK SIGNATURE,931000.0,Marrakech,M'Hamid,106.0,3,3,8783.02,2026-05-07 14:31:06.500521
1252,"Appartement terrasse 118 m², ascenseur, syndic, caméras de surveillance",800000.0,Tanger,Tanja Balia,118.0,2,1,6779.66,2026-05-07 14:31:06.500630
1253,Appartement à vendre 64 m² à Bouznika,1250000.0,Bouznika,Plage Oued Cherrat,83.0,2,2,15060.24,2026-05-07 14:31:06.500746
1254,"Appartement terrasse 196 m², ascenseur, syndic, déclaration totale",1020000.0,Tanger,Tanja Balia,118.0,2,1,8644.07,2026-05-07 14:31:06.500863
1255,Appartement Hôpitaux,2250000.0,Casablanca,Quartier Des Hôpitaux,144.0,3,2,15625.0,2026-05-07 14:31:06.500999
1256,Appartement 600000 dh à Mdiq,600000.0,Mdiq,Toute La Ville,48.0,2,1,12500.0,2026-05-07 14:31:06.501111
1257,Appartement sarout bas de porte à vendre 127 m²,450000.0,Casablanca,Autre Secteur,110.0,3,1,4090.91,2026-05-07 14:31:06.501219
1258,Appartement 114m2 avenue 9 avril Tétouan,1350000.0,Tétouan,Autre Secteur,114.0,3,2,11842.11,2026-05-07 14:31:06.501336
1259,Appartement à vendre 80 m² à Tanger,1150000.0,Tanger,Hay Hassani,80.0,2,1,14375.0,2026-05-07 14:31:06.501485
1260,appartement hay hassani,1600000.0,Casablanca,Hay Hassani,145.0,3,1,11034.48,2026-05-07 14:31:06.501598
1261,"Appartement à vendre au quatrième étage, excellent emplacement",380000.0,Bouznika,Autre Secteur,56.0,2,1,6785.71,2026-05-07 14:31:06.501709
1262,Studio de 59m² à vendre à Ain Sebaa,620000.0,Casablanca,Ain Sebaa,59.0,1,1,10508.47,2026-05-07 14:31:06.501834
1263,Appartement à vendre 52 m² à Casablanca,420000.0,Casablanca,Ain Sebaa,52.0,2,1,8076.92,2026-05-07 14:31:06.501944
1264,Appartement à vendre 64 m² à Tanger,720000.0,Tanger,Autre Secteur,64.0,2,1,11250.0,2026-05-07 14:31:06.502057
1265,Bel appartement à vendre,560000.0,Kénitra,Alliance,70.0,3,2,8000.0,2026-05-07 14:31:06.502177
1266,Appartement 90 m² - Résidence Sophia,1450000.0,Marrakech,Centre Ville,90.0,2,1,16111.11,2026-05-07 14:31:06.502286
1267,Appartement avec deux façades près de la sûreté et de la formation professionnelle,300000.0,Meknès,Autre Secteur,67.0,2,1,4477.61,2026-05-07 14:31:06.502402
1268,appartement,330000.0,Saidia,Toute La Ville,54.0,2,1,6111.11,2026-05-07 14:31:06.502523
1269,Appartement À vendre à Témara Wifak 87m²,1450000.0,Temara,Wifak,87.0,2,2,16666.67,2026-05-07 14:31:06.502632
1270,Appartement de luxe à vendre vue mer,2340000.0,Tanger,Tanger City Center,72.0,2,2,32500.0,2026-05-07 14:31:06.502738
1271,Superbe appartement à vendre,1100000.0,Kénitra,Val Fleury,145.0,2,2,7586.21,2026-05-07 14:31:06.502885
1272,Hay Salam Tranche 1 N° 16 Settat,350000.0,Settat,Hay Salam,45.0,2,1,7777.78,2026-05-07 14:31:06.503115
1273,Appartement à vendre 93 m² à Sidi Rahal,1200000.0,Sidi Rahal,Toute La Ville,93.0,2,2,12903.23,2026-05-07 14:31:06.503225
1274,Appartement à vendre 85 m²,1350000.0,Casablanca,2 Mars,80.0,2,2,16875.0,2026-05-07 14:31:06.503333
1275,Appartement lumineux proche de la nouvelle gare Tanger,440000.0,Tanger,Hay Hassani,56.0,2,1,7857.14,2026-05-07 14:31:06.503448
1276,Appartement à vendre 68 m² à Bayti 3,680000.0,Salé,Sala El Jadida,68.0,2,2,10000.0,2026-05-07 14:31:06.503560
1277,"Appartement titré à vendre 132m² - Rue du Caire, Tétouan",1100000.0,Tétouan,Safir,132.0,3,2,8333.33,2026-05-07 14:31:06.503670
1278,Appartement à Vendre Neuf 95m²,950000.0,Casablanca,Roches Noires,100.0,2,2,9500.0,2026-05-07 14:31:06.503776
1279,Appartement à vendre 88 m² à Marrakech,680000.0,Marrakech,Azzouzia,88.0,2,1,7727.27,2026-05-07 14:31:06.503914
1280,Appartement moderne avec vue ensoleillée à vendre à Jnane Znata,840000.0,Ain Harrouda,Toute La Ville,283.0,2,2,2968.2,2026-05-07 14:31:06.504064
1281,Appartement à vendre 75 m² à Salé,4700000.0,Salé,Abouab Sala,75.0,1,1,62666.67,2026-05-07 14:31:06.504194
1282,Appartement de Luxe 2 Pièces à Prestigia Jade,2400000.0,Marrakech,Bouaakkaz,75.0,2,2,32000.0,2026-05-07 14:31:06.504323
1283,Appartement avec piscine à vendre,480000.0,Oued Laou,Toute La Ville,68.0,2,1,7058.82,2026-05-07 14:31:06.504470
1284,"Appartement à vendre, Douar Lahna, Bab Marrakech, 64 m², double façade",420000.0,Marrakech,Les Portes De Marrakech,68.0,2,1,6176.47,2026-05-07 14:31:06.504631
1285,Studio 57m Meublé A Palmier,1150000.0,Casablanca,Palmier,57.0,1,1,20175.44,2026-05-07 14:31:06.504763
1286,Vente Appartement 4 pièces de 126 m2 à Casablanca,1800000.0,Casablanca,Gauthier,126.0,3,1,14285.71,2026-05-07 14:31:06.504902
1287,Appartement à vendre 60 m² à Mohammedia,350000.0,Mohammedia,Nassim,60.0,2,1,5833.33,2026-05-07 14:31:06.505036
1288,APPART 3CH – 118 m² plus 12 m² de parking à Palmier,2260000.0,Casablanca,Maarif,118.0,3,1,19152.54,2026-05-07 14:31:06.505199
1289,Appartement à vendre 57 m² à Sidi Rahal,460000.0,Sidi Rahal,Toute La Ville,57.0,2,1,8070.18,2026-05-07 14:31:06.505330
1290,bienvenue tout le monde,650000.0,Casablanca,Sidi Moumen,48.0,2,1,13541.67,2026-05-07 14:31:06.505463
1291,Appartement à vendre 67 m² à Sidi Rahal,540000.0,Sidi Rahal,Toute La Ville,67.0,2,2,8059.7,2026-05-07 14:31:06.505589
1292,"Al Oulfa, Farah Salam",340000.0,Casablanca,Oulfa,50.0,2,1,6800.0,2026-05-07 14:31:06.505721
1293,Appartement à vendre 70 m² à Mohammedia,490000.0,Mohammedia,Autre Secteur,70.0,2,1,7000.0,2026-05-07 14:31:06.505854
1294,"Appartement à vendre à très bon prix à Moujahidine, résidence Bel Bachir, rue principale",480000.0,Tanger,Moujahidine,55.0,2,1,8727.27,2026-05-07 14:31:06.506015
1295,Appartement à vendre 56 m² à El Jadida,320000.0,El Jadida,Autre Secteur,52.0,2,1,6153.85,2026-05-07 14:31:06.506158
1296,Appartement à ne pas rater,450000.0,Chefchaouen,Toute La Ville,82.0,3,1,5487.8,2026-05-07 14:31:06.506299
1297,Appartement 75m2 sur la corniche Airbnb,1100000.0,Tanger,Malabata,75.0,2,1,14666.67,2026-05-07 14:31:06.506427
1298,Excellent appartement,670000.0,Meknès,Autre Secteur,96.0,3,2,6979.17,2026-05-07 14:31:06.506560
1299,Appartement neuf meublé Agadir,640000.0,Agadir,Tassila,46.0,2,1,13913.04,2026-05-07 14:31:06.506695
1300,Duplex à vendre à Guynemer,2500000.0,Casablanca,Route D'El Jadida,126.0,3,2,19841.27,2026-05-07 14:31:06.506830
1301,Appartement terrasse 3 chambres balcon ascenseur syndic sur la rue,1156000.0,Tanger,Tanja Balia,136.0,3,2,8500.0,2026-05-07 14:31:06.506984
1302,"Appartement meublé de 76 m², ascenseur, syndic, sur la rue",798000.0,Tanger,Tanja Balia,76.0,2,1,10500.0,2026-05-07 14:31:06.507123
1303,Appartement à vendre 56 m² à Sidi Rehal,370000.0,Casablanca,Sidi Belyout,56.0,2,2,6607.14,2026-05-07 14:31:06.507260
1304,Appartement 4 pièces 102 m² ascenseur syndic sur rue,1070000.0,Tanger,Tanja Balia,102.0,4,2,10490.2,2026-05-07 14:31:06.507391
1305,Appartement à vendre 160 m² à Tanger Moulay Ismail,2500000.0,Tanger,Centre Ville,160.0,3,2,15625.0,2026-05-07 14:31:06.507532
1306,"Appartement 93 m², ascenseur, syndic, 3 chambres",750000.0,Tanger,Tanja Balia,93.0,3,2,8064.52,2026-05-07 14:31:06.507669
1307,"Appartement terrasse 118 m², ascenseur, syndic, à 3 minutes de la gare",800000.0,Tanger,Tanja Balia,118.0,2,1,6779.66,2026-05-07 14:31:06.507828
1308,"Appartement avec terrasse 196 m², ascenseur, syndic, déclaration totale",1020000.0,Tanger,Tanja Balia,196.0,2,1,5204.08,2026-05-07 14:31:06.507972
1309,Appartement à vendre à Tajzi'at Al Fadl,400000.0,Casablanca,Hay Moulay Rachid,57.0,2,1,7017.54,2026-05-07 14:31:06.508110
1310,Appartement à vendre 55 m² à Casablanca,520000.0,Casablanca,Aïn Chock,55.0,2,1,9454.55,2026-05-07 14:31:06.508366
1311,Bel appartement à Wifaq,1750000.0,Temara,Wifak,103.0,3,2,16990.29,2026-05-07 14:31:06.508529
1312,Appartement à vendre 105 m² à El Mansouria,1300000.0,El Mansouria,Toute La Ville,109.0,2,2,11926.61,2026-05-07 14:31:06.508673
1313,Appartement rénové neuf à la Gironde,940000.0,Casablanca,La Gironde,80.0,2,2,11750.0,2026-05-07 14:31:06.508830
1314,Appartement à vendre 84 m² à Tanger,2350000.0,Tanger,Centre Ville,84.0,2,2,27976.19,2026-05-07 14:31:06.508960
1315,Appartement meublé à vendre 79 m² à Tanger,1890000.0,Tanger,Centre Ville,79.0,2,2,23924.05,2026-05-07 14:31:06.509098
1317,Joli appartement à vendre,590000.0,Had Soualem,Toute La Ville,100.0,3,2,5900.0,2026-05-07 14:31:06.509357
1318,Appartements à vendre bas Agdal,1500000.0,Rabat,Agdal,117.0,3,1,12820.51,2026-05-07 14:31:06.509517
1319,Appartement à vendre 57 m² à Tanger,1500000.0,Tanger,Malabata,57.0,2,1,26315.79,2026-05-07 14:31:06.509659
1320,"Kénitra : Beau appartement meublé à vendre, propre et prêt",570000.0,Kénitra,Seyad,90.0,2,1,6333.33,2026-05-07 14:31:06.509855
1321,Appartement 62 m2 résidence Mekka sécurisée,560000.0,Mohammedia,Hay Saada,62.0,2,1,9032.26,2026-05-07 14:31:06.509989
1322,STUDIO MAGNIFIQUE À SAISIR,1350000.0,Casablanca,Riviera,48.0,1,1,28125.0,2026-05-07 14:31:06.510118
1323,Appartement à vendre 91 m² à Marrakech,1400000.0,Marrakech,Route De Casablanca,91.0,2,2,15384.62,2026-05-07 14:31:06.510246
1324,"Appartement à vendre, résidence Firdaous, premier étage",530000.0,Casablanca,Oulfa,53.0,2,2,10000.0,2026-05-07 14:31:06.510382
1325,Appartement à vendre 99 m² à Bouznika,940000.0,Bouznika,Autre Secteur,99.0,2,2,9494.95,2026-05-07 14:31:06.510519
1326,Appartement à vendre 80 m² à Ksar el-Kebir,330000.0,Ksar El-Kebir,Toute La Ville,80.0,2,2,4125.0,2026-05-07 14:31:06.510661
1327,Appartement 2ème étage Azzouzziya Bab Asfi,340000.0,Marrakech,Azzouzia,54.0,2,1,6296.3,2026-05-07 14:31:06.510798
1328,Appartement Bachkou à vendre,600000.0,Casablanca,Bachkou,58.0,2,1,10344.83,2026-05-07 14:31:06.510928
1329,Appartement à vendre Casablanca belvédère,970000.0,Casablanca,Belvédère,67.0,2,2,14477.61,2026-05-07 14:31:06.511057
1330,Appartement à vendre 89 m² à Casablanca,1800000.0,Casablanca,Maarif,89.0,3,2,20224.72,2026-05-07 14:31:06.511190
1331,Appartement à vendre 89 m² à Casablanca,820000.0,Casablanca,Hay Al Amal,89.0,3,1,9213.48,2026-05-07 14:31:06.511324
1332,Appartement à vendre 167 m² à Fès,890000.0,Fès,Agdal,167.0,3,2,5329.34,2026-05-07 14:31:06.511452
1333,"Appartement 106 m², 3 chambres, garage, ascenseur, piscine, Tanger Baliya",1378000.0,Tanger,Centre Ville,106.0,3,2,13000.0,2026-05-07 14:31:06.511588
1334,Appartement à vendre 60 m² à Kénitra,5600000.0,Kénitra,Alliance,70.0,2,1,80000.0,2026-05-07 14:31:06.511724
1335,Appartement à vendre 75 m² à Kénitra 51 million,580000.0,Kénitra,Alliance,85.0,2,2,6823.53,2026-05-07 14:31:06.511864
1336,"Appartement 3 chambres, 3 salles de bain, ascenseur, syndic, garage, déclaration totale",2325000.0,Tanger,Centre Ville,150.0,3,2,15500.0,2026-05-07 14:31:06.512001
1337,Appartement à vendre à Msannat Golf,620000.0,Tanger,Mesnana,56.0,2,1,11071.43,2026-05-07 14:31:06.512135
1338,Appartement 3 chambres 150 m² ascenseur syndic sur le boulevard,1950000.0,Tanger,Centre Ville,150.0,3,2,13000.0,2026-05-07 14:31:06.512264
1339,"Excellent emplacement, R'bana Aya",72000000.0,Martil,Toute La Ville,70.0,2,2,1028571.43,2026-05-07 14:31:06.512440
1340,Appartements de luxe à vendre avec soutien,800000.0,Berkane,Toute La Ville,130.0,2,1,6153.85,2026-05-07 14:31:06.512592
1341,"Appartement 56 m², ascenseur, syndic, 5 minutes de Malabata",550000.0,Tanger,Tanja Balia,56.0,2,1,9821.43,2026-05-07 14:31:06.512722
1342,Appartement meublé à vendre 70 m² à Mohammedia,490000.0,Mohammedia,Autre Secteur,70.0,3,2,7000.0,2026-05-07 14:31:06.512871
1343,CABINET MÉDICAL OU COMMERCE À VENDRE,650000.0,Tamesna,Toute La Ville,85.0,3,1,7647.06,2026-05-07 14:31:06.513013
1344,appartement 3 chambres ascenseur l'aide l'état,876000.0,Tanger,Marjane,73.0,3,2,12000.0,2026-05-07 14:31:06.513143
1345,Appartement à vendre 40 m² à Wifaq,480000.0,Temara,Wifak,40.0,1,1,12000.0,2026-05-07 14:31:06.513273
1346,"Appartement 74 m², garage, ascenseur, balcon, aide de l'État",740000.0,Tanger,Marjane,74.0,2,2,10000.0,2026-05-07 14:31:06.513406
1347,"Appartement 120 m², garage, ascenseur, balcon sur la rue principale",1020000.0,Tanger,Marjane,120.0,4,2,8500.0,2026-05-07 14:31:06.513540
1348,Appartement ascenseur balcon vue sur la rue,450000.0,Tanger,Marjane,57.0,2,1,7894.74,2026-05-07 14:31:06.513672
1349,Appartement 3 chambres 80 mètres ascenseur syndic 5 minutes Malabata,750000.0,Tanger,Tanja Balia,80.0,3,1,9375.0,2026-05-07 14:31:06.513812
1350,"Appartement meublé de 76m², ascenseur syndic, sur rue",760000.0,Tanger,Tanja Balia,76.0,2,1,10000.0,2026-05-07 14:31:06.513953
1351,Appartement 3 chambres 93 m ascenseur syndic balcon,750000.0,Tanger,Tanja Balia,93.0,2,2,8064.52,2026-05-07 14:31:06.514119
1352,Appartement 4 pièces 102 m ascenseur syndic sur la rue,1070000.0,Tanger,Tanja Balia,102.0,4,2,10490.2,2026-05-07 14:31:06.514256
1353,"Appartement terrasse 196 m², ascenseur, syndic, déclaration totale",1020000.0,Tanger,Tanja Balia,196.0,2,1,5204.08,2026-05-07 14:31:06.514398
1354,Appartement excellent 64 mètres avec soutien financier,520000.0,Marrakech,Autre Secteur,64.0,2,1,8125.0,2026-05-07 14:31:06.514539
1355,Appartement à vendre à Roche Noire,740000.0,Casablanca,Roches Noires,76.0,2,2,9736.84,2026-05-07 14:31:06.514677
1356,Appartement meublé à vendre à côté de l'hôtel Hilton,1650000.0,Tanger,Tanger City Center,110.0,2,2,15000.0,2026-05-07 14:31:06.514817
1357,Appartement à vendre 54 m² à Mohammedia,370000.0,Mohammedia,Autre Secteur,54.0,2,1,6851.85,2026-05-07 14:31:06.514949
1358,Appartement à vendre à Haye Izdehar,1180000.0,Marrakech,Hay Izdihar,86.0,2,2,13720.93,2026-05-07 14:31:06.515103
1359,Appartement à vendre El Mansouria,1000000.0,El Mansouria,Toute La Ville,100.0,2,2,10000.0,2026-05-07 14:31:06.515240
1360,"Quartier Al Qods, Bernoussi",640000.0,Casablanca,Al Qods,71.0,2,1,9014.08,2026-05-07 14:31:06.515371
